,transID,cumid,time,amount,type_label,type
24193,3875,40192,15MAY09:17:51:10,319.0,normal,Normal
24194,17092,40192,03AUG09:21:54:26,-249.0,return,returned_goods
24195,41335,40192,27JUN10:18:44:28,449.0,normal,Normal
24196,42446,40192,04JUL10:11:15:05,0.0,giveaway,Presented
24197,43383,40192,08JUL10:18:12:58,279.0,normal,Normal
24198,46479,40192,25JUL10:19:06:17,209.0,normal,Normal
24199,49068,40192,12AUG10:16:52:37,279.0,normal,Normal
24200,17704,40192,08AUG09:10:41:50,0.0,giveaway,Presented
24201,34537,40192,23MAY10:14:05:36,179.0,normal,Normal
24202,36506,40192,03JUN10:18:18:12,0.0,giveaway,Presented
24203,36970,40192,06JUN10:14:01:18,399.0,normal,Normal
24204,51285,40192,31AUG10:19:56:34,0.0,giveaway,Presented
24205,16741,40192,02AUG09:11:25:21,239.0,normal,Normal
24206,31110,40192,20APR10:10:53:06,249.0,normal,Normal
24207,15359,40193,24JUL09:20:47:43,1.0,normal,Normal
24208,20301,40193,25AUG09:17:36:10,-224.0,return,returned_goods
24209,28029,40193,19JAN10:16:23:15,12.0,normal,Normal
24210,38877,40193,16JUN10:16:10:25,359.0,normal,Normal
24211,49001,40193,11AUG10:16:02:51,0.0,giveaway,Presented
24212,43202,40193,07JUL10:19:19:05,249.0,normal,Normal
24213,51958,40193,08SEP10:21:14:31,0.0,giveaway,Presented
24214,16075,40193,28JUL09:21:31:47,269.0,normal,Normal
24215,25775,40193,31OCT09:20:01:54,-174.0,return,returned_goods
24216,25844,40193,03NOV09:19:27:38,2.0,normal,Normal
24217,29002,40193,13FEB10:15:22:38,240.0,normal,Normal
24218,30682,40193,09APR10:13:29:55,0.0,giveaway,Presented
24219,44378,40193,12JUL10:16:28:05,349.0,normal,Normal
24220,46963,40193,28JUL10:15:53:36,359.0,normal,Normal
24221,16281,40193,30JUL09:17:39:03,36.0,normal,Normal
24222,23622,40194,30SEP09:19:47:04,60.0,sepecial_offer,Special_offer
24223,14536,40194,19JUL09:12:21:05,18.0,normal,Normal
24224,16441,40194,31JUL09:16:21:32,269.0,normal,Normal
24225,23398,40194,28SEP09:12:51:37,174.0,sepecial_offer,Special_offer
24226,26476,40194,05DEC09:12:05:16,2.0,normal,Normal
24227,28004,40194,19JAN10:15:44:06,0.0,giveaway,Presented
24228,29712,40194,07MAR10:19:04:24,0.0,giveaway,Presented
24229,30115,40194,25MAR10:13:26:16,449.0,normal,Normal
24230,33667,40194,18MAY10:19:53:00,224.0,normal,Normal
24231,33887,40194,20MAY10:18:03:25,0.0,giveaway,Presented
24232,37087,40194,06JUN10:20:02:15,426.0,normal,Normal
24233,39889,40194,20JUN10:15:12:11,349.0,normal,Normal
24234,48022,40194,03AUG10:21:02:54,0.0,giveaway,Presented
24235,53300,40194,23SEP10:09:25:27,180.0,normal,Normal
24236,50251,40194,20AUG10:21:41:12,262.0,normal,Normal
24237,4685,40194,18MAY09:15:08:26,332.0,normal,Normal
24238,4921,40194,19MAY09:12:53:41,249.0,normal,Normal
24239,8645,40194,10JUN09:15:32:58,15.0,normal,Normal
24240,11581,40194,29JUN09:18:13:15,-399.0,return,returned_goods
24241,13619,40194,13JUL09:12:08:23,249.0,normal,Normal
24242,17726,40194,08AUG09:13:16:27,199.0,normal,Normal
24243,25299,40194,19OCT09:21:54:24,174.0,normal,Normal
24244,27479,40194,07JAN10:16:43:42,360.0,normal,Normal
24245,30734,40194,10APR10:10:30:02,-299.0,return,returned_goods
24246,43627,40194,09JUL10:19:08:21,0.0,giveaway,Presented
24247,49042,40194,11AUG10:21:01:10,0.0,giveaway,Presented
24248,25346,40194,21OCT09:19:28:50,120.0,normal,Normal
24249,39617,40194,19JUN10:11:59:31,0.0,giveaway,Presented
24250,41925,40194,30JUN10:18:47:20,349.0,normal,Normal
24251,42216,40194,02JUL10:18:01:53,249.0,normal,Normal
24252,24216,40195,06OCT09:21:38:25,149.0,sepecial_offer,Special_offer
24253,24289,40195,07OCT09:21:47:09,161.0,sepecial_offer,Special_offer
24254,24384,40195,08OCT09:22:17:07,100.0,sepecial_offer,Special_offer
24255,25747,40195,30OCT09:21:20:51,40.0,normal,Normal
24256,28017,40195,19JAN10:15:57:04,193.0,normal,Normal
24257,28793,40195,08FEB10:20:44:26,0.0,giveaway,Presented
24258,39660,40195,19JUN10:14:41:40,224.0,normal,Normal
24259,52907,40195,18SEP10:19:20:50,-250.0,return,returned_goods
24260,13249,40195,11JUL09:13:17:28,249.0,normal,Normal
24261,15498,40195,25JUL09:18:15:23,15.0,normal,Normal
24262,15579,40195,26JUL09:09:27:41,0.0,giveaway,Presented
24263,22068,40195,12SEP09:21:21:11,0.0,giveaway,Presented
24264,27255,40195,02JAN10:18:51:56,130.0,sepecial_offer,Special_offer
24265,38138,40195,12JUN10:20:34:28,449.0,normal,Normal
24266,22014,40195,12SEP09:16:56:35,0.0,giveaway,Presented
24267,28573,40195,01FEB10:12:52:34,0.0,giveaway,Presented
24268,30660,40195,08APR10:17:57:20,449.0,normal,Normal
24269,8588,40196,10JUN09:10:26:00,239.0,normal,Normal
24270,10979,40196,25JUN09:22:06:59,299.0,normal,Normal
24271,18707,40196,15AUG09:14:20:32,224.0,sepecial_offer,Special_offer
24272,27827,40196,15JAN10:19:19:27,383.0,normal,Normal
24273,28890,40196,11FEB10:15:36:19,50.0,normal,Normal
24274,35619,40196,30MAY10:12:43:45,359.0,normal,Normal
24275,40025,40196,20JUN10:21:19:34,224.0,normal,Normal
24276,53211,40196,22SEP10:15:41:49,0.0,giveaway,Presented
24277,37812,40196,10JUN10:19:57:53,399.0,normal,Normal
24278,41031,40196,26JUN10:14:24:44,0.0,giveaway,Presented
24279,5234,40196,19MAY09:15:42:59,0.0,giveaway,Presented
24280,14693,40196,20JUL09:10:23:24,30.0,normal,Normal
24281,16088,40196,29JUL09:11:14:40,249.0,normal,Normal
24282,34074,40196,21MAY10:13:40:41,0.0,giveaway,Presented
24283,35432,40196,29MAY10:13:37:20,359.0,normal,Normal
24284,37494,40196,08JUN10:18:12:54,426.0,normal,Normal
24285,43003,40196,06JUL10:14:19:42,449.0,normal,Normal
24286,43664,40196,09JUL10:19:40:22,0.0,giveaway,Presented
24287,48526,40196,07AUG10:20:50:57,56.0,normal,Normal
24288,20102,40196,23AUG09:18:19:52,24.0,sepecial_offer,Special_offer
24289,32370,40196,08MAY10:11:11:20,-299.0,return,returned_goods
24290,34088,40196,21MAY10:15:48:48,69.0,normal,Normal
24291,39230,40197,18JUN10:09:43:59,-132.0,return,returned_goods
24292,9507,40197,15JUN09:13:28:17,0.0,giveaway,Presented
24293,10216,40197,20JUN09:18:02:20,239.0,normal,Normal
24294,18141,40197,11AUG09:16:27:49,249.0,normal,Normal
24295,25927,40197,06NOV09:19:09:18,369.0,normal,Normal
24296,28958,40197,12FEB10:19:44:48,0.0,giveaway,Presented
24297,38254,40197,13JUN10:17:54:07,379.0,normal,Normal
24298,41105,40197,26JUN10:19:00:17,399.0,normal,Normal
24299,43310,40197,08JUL10:16:17:24,15.0,normal,Normal
24300,45249,40197,18JUL10:20:46:38,249.0,normal,Normal
24301,47371,40197,30JUL10:21:32:50,211.0,normal,Normal
24302,49922,40197,17AUG10:19:15:37,174.0,normal,Normal
24303,51441,40197,02SEP10:16:36:38,242.0,normal,Normal
24304,19939,40197,22AUG09:20:23:30,199.0,sepecial_offer,Special_offer
24305,30154,40197,25MAR10:17:25:24,0.0,giveaway,Presented
24306,30864,40197,13APR10:12:23:54,449.0,normal,Normal
24307,43010,40197,06JUL10:14:23:10,0.0,giveaway,Presented
24308,49746,40197,16AUG10:18:55:27,0.0,giveaway,Presented
24309,14413,40197,18JUL09:18:08:35,299.0,normal,Normal
24310,20745,40197,29AUG09:21:27:24,0.0,giveaway,Presented
24311,27736,40197,12JAN10:21:06:08,100.0,normal,Normal
24312,28904,40197,11FEB10:17:43:12,249.0,normal,Normal
24313,32286,40197,07MAY10:16:01:29,0.0,giveaway,Presented
24314,33654,40197,18MAY10:18:03:43,314.0,normal,Normal
24315,33804,40197,19MAY10:20:49:40,28.0,normal,Normal
24316,35312,40197,28MAY10:11:57:11,249.0,normal,Normal
